probe	subject1	subject2	subject3	subject4	subject5	subject6	subject7	subject8	subject9	subject10	subject11	subject12	subject13	subject14	subject15	subject16	subject17	subject18	subject19	subject20	subject21	subject22	subject23	subject24	subject25	subject26	subject27	subject28	subject29	subject30	subject31	subject32	subject33	subject34	subject35	subject36	subject37	subject38	subject39	subject40	subject41	subject42	subject43	subject44	subject45	subject46	subject47	subject48	subject49	subject50	subject51	subject52	subject53	subject54	subject55	subject56	subject57	subject58	subject59	subject60	subject61	subject62	subject63	subject64	subject65	subject66	subject67	subject68	subject69	subject70	subject71	subject72	subject73	subject74	subject75	subject76	subject77	subject78	subject79	subject80	subject81	subject82	subject83	subject84	subject85	subject86	subject87	subject88	subject89	subject90	subject91	subject92	subject93	subject94	subject95	subject96	subject97	subject98	subject99	subject100
cg20139214	0.511182684912336	0.248532188452518	0.05219801479212	0.0275431854469866	0.270910984488909	0.282290739551302	0.0259314285381213	0.0589327018706928	0.309105724794372	0.244287522934129	0.17907112588216	0.323909588437155	0.396064064281755	0.0361642559007993	0.26566849334256	0.319326075849536	0.0408248264004703	0.0207689506452788	0.014328070730568	0.0115682598688187	0.029011261861547	0.410751943313691	0.0404422640775887	0.0443739182051636	0.0288433931712331	0.494029474299916	0.544153295811709	0.315671628663965	0.0788549277939515	0.031866506823686	0.0611484781911572	0.0294633707102762	0.0663457022435651	0.0444730059187199	0.348587938891414	0.0370590785417435	0.0264847268172123	0.481324828290021	0.0312705289883016	0.026069415776795	0.0179771343996986	0.0625969092006069	0.0491360924457537	0.0310172794484735	0.264353586292445	0.0432919276980351	0.389755151738483	0.353666674566267	0.144092689357301	0.0491902794293243	0.213808673673067	0.0477761568129219	0.0354611477369112	0.0392824763573755	0.0199223236949195	0.0365427286327359	0.0208520455368017	0.456125071230965	0.0307035236114785	0.0368499525612278	0.354569446674125	0.0293324103105979	0.355472738344424	0.0402405635824339	0.0209138871058331	0.0228633038009786	0.0466551849273541	0.329999708525833	0.0516029804189852	0.033427302260208	0.381826929003276	0.0286822481326113	0.433859908581082	0.265425990485168	0.0211601578591385	0.227305245814578	0.0137853236751045	0.0503674444778509	0.0345120297378168	0.32052707066975	0.046319950070701	0.329164134246684	0.0250895037933938	0.261006209673304	0.198069365664188	0.141186934709126	0.412992811389724	0.296057279363254	0.368183214030735	0.353999133165085	0.0246626570530924	0.202317641388199	0.309510663701682	0.0407315344737938	0.205678870003237	0.301673383492065	0.465939244375098	0.212526177757293	0.0633921130503558	0.0607521578863219
cg10999429	0.0520879184444132	0.172793440833524	0.0572107532721098	0.0229019650726042	0.0176519882995945	0.0294609581595101	0.0183132422237201	0.0542783844309393	0.0393051787766126	0.0152433329503682	0.00963742679237258	0.0476171509597667	0.0451735349286714	0.0210969658004214	0.0150257110715534	0.0256181079867333	0.0129165142655204	0.014698021518117	0.109223954309394	0.0784629346795589	0.0248762849723817	0.308099515779401	0.0127513856682739	0.0338288745450115	0.0183941588934409	0.0439532291092111	0.0735984923348643	0.00566527262642141	0.0291034767989841	0.271057220842525	0.0617377294378456	0.272509179057696	0.0932723783419093	0.0240221523528824	0.01661645672602	0.226963382134686	0.0236528776512381	0.0699624158016982	0.0247252947613502	0.00867580564338867	0.0833768615100374	0.0809246823621232	0.044051368075329	0.0183668550521641	0.0277981446634855	0.311056253776567	0.258633630695047	0.0477396406172214	0.00464299218855714	0.0504051643919599	0.0119848454454447	0.0332956409641702	0.0313314754421688	0.0302309970143789	0.0130006634987248	0.204233031166506	0.0145138871150996	0.0354065303941988	0.00934957797433698	0.0222245119001569	0.0381038110360947	0.0193315906203104	0.0191648992006314	0.0227080315085256	0.00387861063353851	0.0281600097554498	0.0386988037537461	0.0222035742419231	0.0771744384447347	0.0246253801844766	0.0279511214014443	0.0178715400067676	0.0496127908110541	0.0156624238566465	0.157214551498996	0.0206591019774388	0.00480044560748302	0.0913434661535186	0.0371761197940582	0.0214998936486308	0.0415535889332682	0.00792538960638099	0.0281217401316522	0.0266723420832667	0.0193225008026485	0.010009671568774	0.0309970008275157	0.05952249861345	0.01169553775338	0.0238126154507589	0.011523355409733	0.124126234017582	0.0259620862238065	0.00701576024391407	0.133331082096883	0.0327171149015648	0.0452700656910635	0.0260439878432562	0.0324616364460569	0.180854272228928
cg23640701	0.861088552322001	0.469313042778676	0.738343313701548	0.526112282997281	0.261050981866748	0.951535037063152	0.930988003903564	0.937656843870887	0.856069286590213	0.968934144788555	0.856722036988653	0.758574945168976	0.855384592061401	0.865258861282809	0.954371970021773	0.149569654774226	0.962473174881402	0.381085468321617	0.490283546947295	0.398087280843916	0.837744788161594	0.400159107867669	0.981422363555677	0.395871099310452	0.503657412085568	0.584024473016877	0.460610043936759	0.702647650592977	0.927437688282533	0.540795774537459	0.408338148075556	0.772990791214048	0.954501186331468	0.241065968802732	0.919416760487605	0.728221798723618	0.874517429397663	0.236099650846009	0.823985906516581	0.4213433687093	0.743967504269056	0.956492492966602	0.569295658737753	0.886158487059113	0.272429279710186	0.348228247242759	0.528960481309926	0.919935452003703	0.814282641131757	0.473282924836748	0.719996403790931	0.841690248294524	0.962791586745241	0.329452837747996	0.937640066911134	0.894386585343019	0.947345782274611	0.0552549291768571	0.734207579922466	0.724205900840519	0.605882330339344	0.78630842566236	0.944107286543375	0.985114049688414	0.181792161727623	0.830753464358247	0.517117349547686	0.358627327333527	0.586572060533194	0.329398965691904	0.924178440901341	0.220898519727736	0.984031609851488	0.808179878494052	0.474142808136616	0.898547470180942	0.943375775842507	0.511064571124392	0.969686875851383	0.987997282197846	0.895872155262617	0.705439740011067	0.989428677138829	0.580470142440613	0.722194524667096	0.873096548820846	0.547119646280019	0.786576009145089	0.493597588229105	0.624896894728494	0.365457470602473	0.294734456801806	0.943310042078907	0.760409062630077	0.96252183711587	0.896590862824376	0.818499262217956	0.98763226552276	0.931693865432474	0.423949330277102
cg02956093	0.682654486148975	0.121388360749491	0.0988357300936088	0.102930525190579	0.116859705566215	0.509891368595293	0.0788224139888092	0.0853939101002881	0.67583569932786	0.499606851481908	0.0923475779312933	0.0940934162298572	0.136350025017853	0.115787545441742	0.605665502021677	0.0872979604778829	0.113262566771445	0.114142377257543	0.0866647461178431	0.05555532868464	0.128932860198624	0.148645976218518	0.174346687524214	0.129586363294761	0.135974642324533	0.16281665539126	0.148300390761053	0.543073605083118	0.117206683793983	0.0941217503411565	0.158612630856434	0.0959841010569816	0.141650108058981	0.163623405395156	0.659068688244773	0.174874275246376	0.104309786313158	0.131967037676439	0.118179490023055	0.10425950598334	0.0843200264367531	0.151734586616179	0.126295191732329	0.124872876390812	0.112453698813665	0.142074603660515	0.101767077485595	0.700178376078249	0.499343579889561	0.107627028737446	0.113594063302458	0.0899190278781963	0.127169252201265	0.121566454728011	0.128042918337218	0.0917575913695347	0.0869078343388272	0.127683453979207	0.106053620334332	0.135011139766852	0.124363525344887	0.141230660626659	0.607113934109346	0.125599556535837	0.119681136046217	0.0753539116742443	0.158730533512995	0.101950134609612	0.15235725749755	0.183504267092778	0.664027949056583	0.104619199362968	0.698141768988366	0.135400130843521	0.0947084760094391	0.504647212676238	0.0831022463500661	0.0913891512864474	0.0886442869214877	0.544735283666701	0.165541417404923	0.50295463836183	0.122612765250763	0.119873222683244	0.100802318760133	0.563610995338199	0.144178910773596	0.143014754493041	0.0886857098357007	0.169066145320625	0.100635289837585	0.102534825641746	0.646147358329588	0.127950467464348	0.0804279718663014	0.647482075673007	0.673604375033535	0.691170824168215	0.0949902889366022	0.149473642834144
cg08711674	0.360167901148217	0.18328630470246	0.277357842136167	0.390192888808331	0.384607117688149	0.279578233437053	0.296533035622807	0.520766840805613	0.417782023013937	0.241666199963509	0.46806906695035	0.451358100446139	0.921362283165007	0.22544313025396	0.277920157181557	0.258360180601543	0.273492669379006	0.347905964694081	0.0990602887184921	0.347335803303793	0.36076470897784	0.284535326336651	0.375779687482799	0.27107647384577	0.2977581979023	0.503471094185242	0.809267052294005	0.0975930276434005	0.369346275493131	0.528578636876399	0.389800330289078	0.581589011182682	0.277846128120513	0.351703233085206	0.427881786015394	0.549876355771277	0.296247137913577	0.842461697724428	0.122718063745235	0.356921489499522	0.474499917397953	0.240135260923557	0.21743413876697	0.600313181158235	0.288898354893038	0.419316231424021	0.538835815665193	0.565004170723514	0.209712299707098	0.259564980366436	0.367120908370913	0.566321148131413	0.539587571301203	0.150419810995569	0.486770019765479	0.375253223448385	0.607662980439022	0.480176603481121	0.239156651861257	0.455530772110948	0.817031860463011	0.580195750923716	0.562323400319874	0.341760148993285	0.253519453980627	0.358449134904867	0.143294310595594	0.869323749211373	0.396366554183538	0.378704838716752	0.518859298568236	0.323062275814177	0.223006589146456	0.391271930739736	0.377946621960178	0.189952774901651	0.407489898010824	0.367616626896046	0.272601228862622	0.163323399716856	0.31920283877323	0.07803814150024	0.599142507702879	0.825162176198362	0.413949607343294	0.339117929344276	0.776723819635467	0.883293808888663	0.754161755660002	0.499433631838728	0.296977838001622	0.268055992047769	0.211702864702601	0.558552378660201	0.372237591801275	0.359248815311912	0.213703183372712	0.433768286236947	0.278481710653141	0.580417943606152
cg09842540	0.124106905359893	0.0123285696105276	0.0472142184454245	0.0119860556340728	0.0197166675311301	0.00945890709871817	0.00965490949939372	0.0541684879200474	0.23063719765198	0.010874747074369	0.00715815509150191	0.0248421504041057	0.262162366687963	0.00912335583862291	0.118650776803476	0.0280320182848027	0.0236672534314352	0.0081201507272355	0.00490459162145438	0.00246758063103766	0.023572817651594	0.0536453474543638	0.0386495068341345	0.0274328886473816	0.0123701607267725	0.0818817583197562	0.671510035204071	0.221132494673462	0.061892893466924	0.0156381506644335	0.0438817209324418	0.0258771659093726	0.0660032011855894	0.0205088624796753	0.358196338800619	0.0298279085413193	0.0143796175374811	0.588395760843038	0.0198446350758571	0.0109259655387587	0.00704821037428733	0.100298758996646	0.044613578258149	0.0202550922645999	0.0294620932158458	0.0550340029220497	0.0321652048349153	0.0273992985136928	0.00628491248852906	0.0412731264550632	0.021682894506404	0.0479446807916286	0.0111880454346565	0.0215482531398605	0.00496161354191126	0.0163392913987539	0.00955938015227771	0.462146914028939	0.0200157027291188	0.0198203132721191	0.360623350098019	0.0122897328350801	0.0287600969186813	0.015947064757676	0.00963208898801311	0.0121921874426183	0.0194146091088169	0.216238920550856	0.0621204327325488	0.0433293099555443	0.196364819518251	0.00737616734859302	0.0425376175717438	0.0241101857841476	0.00986994686009522	0.103669042813872	0.00235989099390895	0.0458420897344726	0.0205166239231895	0.0238253600731074	0.0331076727147614	0.179680375396323	0.00918137801662203	0.117388747733717	0.0103950207715227	0.00300784579784018	0.451030087452173	0.270739238933432	0.204070034236908	0.0682750422306337	0.0163130713622803	0.0123194678450375	0.22145218052094	0.0202689028101053	0.00715775878284493	0.202263838153553	0.099223670477847	0.120750549020924	0.0584194579123524	0.0745837283577604
cg11739626	0.443490259266029	0.373573543881086	0.811957925070191	0.659115562109942	0.941167838009891	0.452494877255139	0.945773468022433	0.952467642675987	0.96492168630687	0.30208178721491	0.94766264445869	0.930267459929261	0.740076900611949	0.904482809222828	0.958462904950494	0.911825702055602	0.452995411028243	0.57779811109085	0.767297684779678	0.882770886849173	0.580312201576214	0.609205442333231	0.957454309149223	0.594417625707634	0.433206419526165	0.972225277555707	0.21066067592885	0.717733424523561	0.871418611132163	0.969313503831553	0.60882940817596	0.983567440922748	0.424187119976736	0.760204470554286	0.955001929651346	0.974766516431255	0.615093668652968	0.415514356013417	0.151128218150395	0.536945864275125	0.967944719581242	0.348866366772966	0.440190461695435	0.706084764383384	0.921377746545439	0.976477416187881	0.612938769332722	0.592454325713974	0.387194975385612	0.475079917921643	0.9090437272907	0.696496944543358	0.630207610944511	0.532642448517003	0.945785090669112	0.966375353815085	0.755808279189579	0.0759044299976274	0.439929254466692	0.595565243594131	0.509698654554489	0.739748814768437	0.648572355425237	0.751862401345306	0.525520715670837	0.493158987497808	0.358278225708429	0.473405673526741	0.686639039472591	0.492650847082838	0.958188812419576	0.503885358632778	0.521116372934481	0.970217661953062	0.937785696324429	0.764990514983172	0.737883898007551	0.478321663569314	0.383691895511715	0.125225479502646	0.952489679717835	0.598958772688553	0.980367480617515	0.274732049911946	0.94798274106568	0.63693881893123	0.378743304620002	0.606944453288241	0.307028393194097	0.968067033248736	0.542634312563214	0.409898124152024	0.883341026168121	0.753277372450311	0.413760249484236	0.947926161086367	0.367035473255776	0.978326965408902	0.776300472057795	0.961598438439529
cg19073614	0.104834553357892	0.220134006483582	0.0521628281037992	0.0268681010596804	0.266944613156668	0.0225148563407498	0.0184105874917177	0.0753852549118927	0.0276291984700054	0.0163753887805604	0.145639763011609	0.307253474110594	0.0524825212501393	0.0149349575550204	0.0305309551824163	0.36066646343327	0.326000944704597	0.0154862763039209	0.00856596066653348	0.00760250329586273	0.0201477182555962	0.414157785478336	0.0546930894505621	0.0662771861779389	0.016771209838318	0.663321043707416	0.100972594484305	0.0348453124496033	0.0794369343710674	0.0154330461243907	0.0696205965580687	0.0444837211271076	0.0677548981036607	0.0592978653762975	0.0502374871198668	0.0457650422955763	0.019431288834029	0.0856337772379877	0.219342178410554	0.0162307258198971	0.0128846989923443	0.580834403719711	0.0434607457577231	0.286588704942611	0.236208513087864	0.0763555616278968	0.387622125036379	0.0313187931377892	0.0128669186539025	0.0443858659326928	0.238090863618541	0.0414710506072851	0.201148136248926	0.0438490001314317	0.00774999972294289	0.0201495078944264	0.147563616501121	0.075948101355559	0.0228495214749567	0.0373517237942593	0.0522858628671273	0.033355957278904	0.0554527696696737	0.281255762811677	0.0171245637490668	0.155149316696119	0.0319210741807418	0.0415174336353022	0.072759793890401	0.0498671608021002	0.0329277795638895	0.0109007253402526	0.0726331539106618	0.364730513577824	0.019054739990249	0.0251975902977084	0.0626838651772507	0.0373055602573341	0.318647235239353	0.0492910718210901	0.0487199893613018	0.0276054222779704	0.0211326147705082	0.0170246027519115	0.210066382699207	0.00864494122228788	0.10123389332922	0.0419972412154747	0.0290169389465235	0.532569650879016	0.0210668239014325	0.156337631002786	0.0430486532128126	0.038038183377192	0.163651993142643	0.0316145316043158	0.0775163594730016	0.0254298322538354	0.0533362660046775	0.128433656507227
cg01894895	0.589282818730683	0.804493129938128	0.988181364640217	0.853029189606417	0.838292354383888	0.824006765591913	0.989451139417813	0.98147431982315	0.763953414249703	0.874080747686927	0.86844523138593	0.849169645832111	0.795869139650354	0.977541520942921	0.909469266956691	0.829304898905229	0.778566461075241	0.864385555000959	0.930083349123072	0.866135738381406	0.863546699058947	0.708883546635049	0.979892116569947	0.787055584982336	0.834846688934148	0.886301286656134	0.440569967148426	0.873815968028032	0.979684604445885	0.857537068100248	0.81275520148011	0.762835857863619	0.727871595604055	0.823605911527783	0.728716925911147	0.831662364956562	0.890077508410484	0.715846620368857	0.850718382714879	0.874560753379216	0.881173132742284	0.626064897494332	0.803131684461439	0.815195992791099	0.692894080990047	0.708141136849131	0.830544619283212	0.863375236271187	0.880329250019338	0.799848645435279	0.85899580347724	0.880894420185903	0.789088666134743	0.849340668319103	0.988871789783816	0.699537544331244	0.868151153171572	0.796295190140372	0.781364478423974	0.881610166539963	0.910465629521775	0.841702772949701	0.714263238914258	0.803316969771459	0.873436459641223	0.822205590221748	0.888207449644418	0.84669064302808	0.779558616031687	0.72440815451622	0.707150677594337	0.949998882222989	0.796538008603335	0.837347215401118	0.885023960867431	0.872901922623601	0.918704138999861	0.794287075885565	0.794840976537445	0.85526778097346	0.963696600590246	0.755059205545581	0.995378458249948	0.875115091732721	0.907006735159958	0.934543142566534	0.704740508948473	0.791285412896746	0.666504757431557	0.518598114967221	0.748003531564274	0.86540485828781	0.851406808677367	0.793150624344679	0.886333480180545	0.822163252258163	0.744062484308921	0.876017829147148	0.96932022347834	0.623964513024817
cg01086868	0.372985746959694	0.0814241676368112	0.957438022063901	0.155900808964135	0.604129692700889	0.25486965758699	0.494338499823965	0.853726318444055	0.121497826954466	0.255295816052201	0.902998080897856	0.664867548522871	0.821646886308229	0.886178440668855	0.114288279608123	0.600019525521617	0.539321694049405	0.112662031016449	0.591992059074958	0.641664004770885	0.351505155248135	0.414300668526362	0.708629608373443	0.054609524580316	0.215294008370418	0.887276450214137	0.83323020849221	0.0847690191007101	0.598642189140897	0.469294759042856	0.35598742419734	0.827832240166219	0.129316458084151	0.127941180397175	0.234912636959083	0.714367306977083	0.157402719133708	0.73880985853162	0.271747911383661	0.301834315033052	0.838295881052203	0.35298060583458	0.147862617004321	0.555315521567452	0.67488757259724	0.791386252305847	0.360935640261186	0.619320709222883	0.0950022560284516	0.119045513469022	0.82937484196156	0.304464174853029	0.357022945781259	0.0790823431475374	0.759148265097358	0.796186588032079	0.157424313615736	0.686833875530163	0.128440863469686	0.230212323022236	0.840644990973562	0.173853814261501	0.168017903585813	0.114746401801483	0.286777568222591	0.551159427348826	0.212141826968797	0.933934028228447	0.417957053399592	0.522452514299674	0.445439668211529	0.156738121448706	0.209037146754856	0.904430774421947	0.864776190855429	0.248498270841681	0.310672629518798	0.436670480379641	0.322161286876668	0.39600412951926	0.710591814538984	0.141254054440978	0.778972570187417	0.72501871747398	0.906255526894471	0.129600946207228	0.786905659079283	0.900767519658523	0.440160475003378	0.888628649332704	0.0824127696127946	0.128866637818146	0.329054028859412	0.563792130481134	0.118227784540904	0.214932890300514	0.30809710924483	0.16193533776217	0.839918326207443	0.902494733349998
